source,target,coef_abs
foxf2b,fth1a,0.015602722
vsx1,ccng1,0.015602218
nkx2.2a,prdx2,0.015570316
en1a,mdkb,0.01556455
foxj1a,vim,0.015561473
fosab,eif5a2,0.015539261
hoxa4a,ptprfb,0.015531299
dlx2a,hspe1,0.015525245
alx4a,dkc1,0.015523884
en2a,nop58,0.015514765
raraa,sox11a,0.015503208
barx1,pcna,0.015490906
pax6b,agrn,0.015471716
hoxa2b,mdkb,0.01546276
en2a,pabpc1a,0.015458543
sox11a,fabp7a,0.015444744
sox11a,nop56,0.015425388
lmx1ba,hspe1,0.015421152
foxi3a,histh1l,0.015418372
hoxa9a,mdkb,0.015413983
sox21a,prdx2,0.015411041
fosaa,tenm4,0.015405007
hoxb5b,pcna,0.015400783
gsx1,pcna,0.0153757725
pax7a,mab21l2,0.015372823
en1b,fabp7a,0.01536358
hoxb6a,mdkb,0.015360279
shox2,fabp7a,0.015350785
hmga1a,metap2b,0.015344809
etv4,mki67,0.015331399
foxg1d,eif5a2,0.015330746
irx6a,hmgn2,0.015320631
irx4b,hbae1.3,0.015314605
barhl1a,cirbpa,0.015312593
hoxa4a,col28a2a,0.015302514
nkx2.5,fthl27,0.015274075
hoxa4a,ncl,0.015270641
vsx1,fabp11a,0.01526877
hoxb5b,cirbpa,0.015268464
barhl2,eif5a2,0.015266346
pknox2,epha4b,0.015262776
sox10,actb1,0.015243477
hoxa4a,hoxb3a,0.015222418
egr3,cirbpa,0.015222089
foxj1a,ptmaa,0.015218318
gata1a,cpox,0.015210377
en1b,ptmab,0.015201129
sox10,serbp1a,0.015192867
nr2f1b,sox11a,0.015183397
lhx9,dkc1,0.015170858
hoxa2b,mki67,0.015167558
vsx1,aspm,0.015163367
en1b,hmgn2,0.015160445
emx3,marcksl1a,0.015119994
nkx2.7,slc1a3a,0.015108208
hmx3a,serbp1a,0.015104453
sox6,actc1b,0.01509885
nr2e3,pcdh19,0.015084153
tbx18,tenm4,0.015083555
foxi2,mycn,0.015076657
sox10,qkia,0.015075797
nr4a2a,prdx2,0.015071735
hmga1a,nap1l1,0.015066342
jun,twist1a,0.015049528
creb5b,stmn1a,0.015047904
her9,pa2g4a,0.015043329
tbx1,slc1a3a,0.015043278
rx1,npm1a,0.015040266
foxd1,c1qbp,0.015036598
gsx1,pcdh19,0.015036087
hoxb6b,mdkb,0.015031763
hoxb6a,ccng1,0.015022413
sox21a,boc,0.015017205
twist2,npm1a,0.015005715
etv2,serbp1a,0.015003152
pax6b,pax6a,0.0150001785
six3b,pax6a,0.014982716
en1a,ccng1,0.014979108
tbx15,pabpc1a,0.014977426
foxd1,ccnd1,0.014969857
nfixa,hbae1.3,0.01495733
barx1,fthl27,0.014946557
