,source,target,coef_mean,coef_abs,p,-logp
15576,dlx5a,usp28,-0.0005869212,0.0005869212,1.1239550056584908e-07,6.949251074163185
15577,egr3,usp28,-0.00014293862,0.00014293862,7.309572248362713e-06,5.136108036942437
15578,barx1,usp28,-0.00014457766,0.00014457766,0.0002485495023842238,3.6045871020160383
15579,rorb,usp28,-0.00040579552,0.00040579552,4.402683001010293e-06,5.356282583190968
15580,gata2a,usp28,-3.224468e-05,3.224468e-05,0.631117699548755,0.19988963996693254
15581,etv4,usp28,-0.00044946137,0.00044946137,1.918815889594599e-06,5.716966693825756
15582,otpa,usp28,-0.00016225003,0.00016225003,0.0009694465972135309,3.0134761094055547
15583,rarab,usp28,-9.815263e-05,9.815263e-05,0.0508275976981018,1.2939004161897447
15584,meis1a,usp28,-0.00026183933,0.00026183933,3.384303507679852e-05,4.470530695928553
15585,klf2a,usp28,-5.9572863e-05,5.9572863e-05,0.15539986510615988,0.8085493625214355
15586,emx3,usp28,0.00041223312,0.00041223312,9.219884209150785e-07,6.035274533137547
15587,thrab,usp28,-0.00024640968,0.00024640968,0.00019118192593974343,3.718553167685765
15588,hoxa4a,usp28,3.322718e-05,3.322718e-05,0.45270996145316067,0.34417994916160205
15589,hoxc1a,usp28,-0.00017100081,0.00017100081,0.0012902203341919702,2.889336117799451
15590,foxi3b,usp28,-6.3987056e-05,6.3987056e-05,0.0026682978626239437,2.5737656916694958
15591,uncx,usp28,2.4459174e-05,2.4459174e-05,0.5288125266795818,0.27669826569453604
15592,lmx1ba,usp28,7.4472984e-05,7.4472984e-05,0.11400431179030215,0.9430787227747285
15593,six7,usp28,0.00039626443,0.00039626443,3.120641751329305e-08,7.505756085340137
15594,hoxb3a,usp28,-1.0068102e-05,1.0068102e-05,0.8526455531832458,0.06923146858352208
15595,rx2,usp28,0.00014821344,0.00014821344,0.02772309883755773,1.5571582266997386
15596,tbx2b,usp28,0.0006152831,0.0006152831,1.0471571174865932e-08,7.9799881510450295
15597,pax3b,usp28,-0.00031776962,0.00031776962,1.2139853203393328e-05,4.915786564771609
15598,pax2a,usp28,0.00014863313,0.00014863313,0.005174535829882473,2.286128601535174
15599,klf3,usp28,0.0003549849,0.0003549849,3.8015129073448625e-06,5.4200435306068915
15600,lhx2a,usp28,-0.0003950941,0.0003950941,1.7788045039928076e-08,7.749871779573482
15601,nr2e3,usp28,-4.397444e-05,4.397444e-05,0.07278554899738314,1.1379548379078106
15602,meox1,usp28,-0.0004405294,0.0004405294,9.92538644243824e-06,5.00325257508865
15603,noto,usp28,-0.00020883861,0.00020883861,2.5312631473979404e-05,4.596662703706916
15604,egr2b,usp28,0.00019711546,0.00019711546,0.0026444019432445343,2.577672532368709
15605,alx1,usp28,0.00027575358,0.00027575358,5.925045583841442e-06,5.2273083040968205
15606,foxp4,usp28,-6.398198e-05,6.398198e-05,0.20595869798567437,0.6862198623265678
15607,tbx2a,usp28,-0.0001244052,0.0001244052,0.03695042944933646,1.4323805097348319
15608,lmx1bb,usp28,0.00015168841,0.00015168841,0.04861007332215559,1.3132737238465944
15609,gsx2,usp28,0.0003725165,0.0003725165,2.537868074025439e-09,8.595530957580921
15610,meis1b,usp28,7.0990145e-06,7.0990145e-06,0.9081568003859768,0.04183916066034157
15611,klf12a,usp28,7.8593264e-05,7.8593264e-05,0.28169505124416405,0.5502207825358106
15612,phox2a,usp28,0.00013430568,0.00013430568,2.7302848900321688e-05,4.563792034382824
15613,meis2a,usp28,-0.0007992755,0.0007992755,2.0607530199129733e-10,9.685974055050641
15614,nr6a1b,usp28,-1.2795048e-05,1.2795048e-05,0.795412369743259,0.09940765942815272
15615,nr2f1b,usp28,-0.0005669017,0.0005669017,2.728526792665563e-08,7.564071777321671
15616,six6b,usp28,0.00012396408,0.00012396408,0.014105219434003594,1.850620153164367
15617,gbx2,usp28,-0.0002886635,0.0002886635,2.1989263998459995e-07,6.657789306644521
15618,vsx1,usp28,0.0002413425,0.0002413425,0.0003479933208896914,3.4584290914803955
15619,msx1b,usp28,0.00041551326,0.00041551326,1.940103145823968e-05,4.712175180136075
15620,alx4a,usp28,-0.00042842192,0.00042842192,4.464550490775536e-06,5.350222261121048
15621,pnx,usp28,-3.3710512e-05,3.3710512e-05,0.5248026940695482,0.2800039441801563
15622,fli1b,usp28,-0.0005457369,0.0005457369,1.4441794529449368e-09,8.840378838219676
15623,dlx4a,usp28,0.00029290654,0.00029290654,7.427344666914262e-08,7.129166422123748
15624,hoxc8a,usp28,7.753203e-05,7.753203e-05,0.08809519127298511,1.0550477971566794
15625,barhl1b,usp28,0.0001039564,0.0001039564,0.0030671887127470265,2.5132595026665543
15626,foxg1a,usp28,-0.00017814088,0.00017814088,0.002768381563812231,2.557774051629402
15627,hoxb6b,usp28,-0.00016621967,0.00016621967,0.008943094309447563,2.04851218936884
15628,six3b,usp28,1.4500823e-05,1.4500823e-05,0.7867070662164857,0.10418694897279668
15629,dlx3b,usp28,0.0007491919,0.0007491919,3.1588304728445854e-09,8.50047368105393
15630,vax1,usp28,-0.00030267265,0.00030267265,0.00016118877259924198,3.792665211712114
15631,dlx2b,usp28,0.00031583512,0.00031583512,1.2362683075332158e-07,6.907887264008085
15632,alx4b,usp28,9.9936624e-05,9.9936624e-05,7.55123237703941e-05,4.121982164811687
15633,hoxb7a,usp28,8.589533e-05,8.589533e-05,0.1501483311551721,0.8234794904655175
15634,nr2f5,usp28,0.0005181575,0.0005181575,1.4428677313843924e-06,5.840773479137102
